ticker,Year,Percentage of Recurrence,Trapping Time,Laminarity,Recurrence Rate,Divergence,Max Vertical Length,Entropy of Vertical Structures,Mean Recurrence Time,Recurrence Time Entropy,Num Most Probable Recurrence Time
CELO-USD,2021,153.7416677,365,0.002739726,1.15E-05,0.002739726,1257.554107,8.358398613,1.537416677,8.358398613,266
CELO-USD,2022,132.0810291,365,0.002739726,9.91E-06,0.002739726,1313.524761,7.33826059,1.320810291,7.33826059,3
CELO-USD,2023,13.05585363,365,0.002739726,9.80E-07,0.002739726,124.3727266,1.02935205,0.130558536,1.02935205,50
CELO-USD,2024,8.911377188,60,0.016666667,2.48E-05,0.016666667,19.19183248,0.57108322,0.089113772,0.57108322,59
ZIL-USD,2018,3.863923886,341,0.002932551,3.32E-07,0.002932551,48.29451239,0.347751133,0.038639239,0.347751133,104
ZIL-USD,2019,0.75580584,365,0.002739726,5.67E-08,0.002739726,4.231478717,0.081434465,0.007558058,0.081434465,95
ZIL-USD,2020,1.240611169,366,0.00273224,9.26E-08,0.00273224,26.70952714,0.126056829,0.012406112,0.126056829,362
ZIL-USD,2021,4.614252867,365,0.002739726,3.46E-07,0.002739726,46.10005995,0.410350172,0.046142529,0.410350172,105
ZIL-USD,2022,2.60947934,365,0.002739726,1.96E-07,0.002739726,49.1126147,0.244910928,0.026094793,0.244910928,90
ZIL-USD,2023,0.564471763,365,0.002739726,4.24E-08,0.002739726,4.553314372,0.062329407,0.005644718,0.062329407,53
ZIL-USD,2024,0.213707003,60,0.016666667,5.94E-07,0.016666667,0.334833987,0.021752323,0.00213707,0.021752323,59
POKT-USD,2022,46.5297425,353,0.002832861,3.73E-06,0.002832861,896.6422299,3.019672321,0.465297425,3.019672321,2
POKT-USD,2023,2.649897055,365,0.002739726,1.99E-07,0.002739726,43.32216698,0.249326011,0.026498971,0.249326011,364
POKT-USD,2024,3.591849551,60,0.016666667,9.98E-06,0.016666667,4.231517121,0.264607707,0.035918496,0.264607707,5
MAGIC14783-USD,2021,53.71059424,43,0.023255814,0.000290642,0.023255814,55.24639845,2.321025464,0.537105942,2.321025464,41
MAGIC14783-USD,2022,142.4225154,365,0.002739726,1.07E-05,0.002739726,1686.993463,7.77222363,1.424225154,7.77222363,49
MAGIC14783-USD,2023,43.26859987,365,0.002739726,3.25E-06,0.002739726,434.2051715,2.888658727,0.432685999,2.888658727,37
MAGIC14783-USD,2024,13.73128873,60,0.016666667,3.82E-05,0.016666667,15.24022323,0.829529108,0.137312887,0.829529108,49
UMA-USD,2020,466.5405929,221,0.004524887,9.55E-05,0.004524887,4009.784992,17.58993535,4.665405929,17.58993535,99
UMA-USD,2021,736.656233,365,0.002739726,5.53E-05,0.002739726,6745.910733,28.35069533,7.36656233,28.35069533,34
UMA-USD,2022,251.0145963,365,0.002739726,1.88E-05,0.002739726,2568.465197,12.3551866,2.510145963,12.3551866,4
UMA-USD,2023,36.79597044,365,0.002739726,2.76E-06,0.002739726,416.6180559,2.526735401,0.367959704,2.526735401,124
UMA-USD,2024,132.0756459,60,0.016666667,0.000366979,0.016666667,121.1475749,4.984355316,1.320756459,4.984355316,22
ORBR-USD,2022,1091.106396,306,0.003267974,0.000116528,0.003267974,8214.550703,35.86672534,10.91106396,35.86672534,39
ORBR-USD,2023,225.2866955,365,0.002739726,1.69E-05,0.002739726,2328.594724,11.21947255,2.252866955,11.21947255,8
ORBR-USD,2024,6.162870919,60,0.016666667,1.71E-05,0.016666667,9.938818514,0.419733241,0.061628709,0.419733241,59
BAT-USD,2017,9.939557456,53,0.018867925,3.54E-05,0.018867925,9.49496872,0.619086606,0.099395575,0.619086606,52
BAT-USD,2018,14.23262476,365,0.002739726,1.07E-06,0.002739726,220.347684,1.103212905,0.142326248,1.103212905,8
